time,lon,lat,dis24,geometry
2015-12-16,94.45000000000005,27.049999999999997,2216.33740234375,POINT (94.45000000000005 27.049999999999997)
2015-12-16,93.75,26.75,2878.22705078125,POINT (93.75 26.75)
2015-12-16,92.65000000000003,26.549999999999997,3862.14306640625,POINT (92.65000000000003 26.549999999999997)
2015-12-16,92.25,26.450000000000003,3801.775634765625,POINT (92.25 26.450000000000003)
2015-12-16,91.65000000000003,26.15,3806.801025390625,POINT (91.65000000000003 26.15)
2015-12-16,91.25,26.15,3774.26416015625,POINT (91.25 26.15)
2015-12-16,90.65000000000003,26.15,4285.740234375,POINT (90.65000000000003 26.15)
2015-12-16,90.35000000000002,26.15,4306.6494140625,POINT (90.35000000000002 26.15)
2015-12-16,90.15000000000003,26.049999999999997,4290.62451171875,POINT (90.15000000000003 26.049999999999997)
2015-12-16,89.85000000000002,25.849999999999994,4351.95166015625,POINT (89.85000000000002 25.849999999999994)
2015-12-16,89.75,25.650000000000006,4975.42041015625,POINT (89.75 25.650000000000006)
2015-12-16,89.65000000000003,24.950000000000003,5231.3720703125,POINT (89.65000000000003 24.950000000000003)
2015-12-16,89.75,24.549999999999997,5288.5439453125,POINT (89.75 24.549999999999997)
2015-12-16,89.65000000000003,23.849999999999994,5428.82177734375,POINT (89.65000000000003 23.849999999999994)
2015-12-16,89.95000000000005,23.650000000000006,8560.603515625,POINT (89.95000000000005 23.650000000000006)
2015-12-16,90.25,23.450000000000003,8624.2548828125,POINT (90.25 23.450000000000003)
2015-12-16,90.55000000000001,23.25,8698.8515625,POINT (90.55000000000001 23.25)
2015-12-16,90.55000000000001,23.25,8698.8515625,POINT (90.55000000000001 23.25)
2015-12-17,84.05000000000001,29.549999999999997,30.18280601501465,POINT (84.05000000000001 29.549999999999997)
2015-12-17,84.05000000000001,29.549999999999997,30.18280601501465,POINT (84.05000000000001 29.549999999999997)
2015-12-17,84.35000000000002,29.549999999999997,31.277286529541016,POINT (84.35000000000002 29.549999999999997)
2015-12-17,84.75,29.25,38.68854522705078,POINT (84.75 29.25)
2015-12-17,85.45000000000005,29.25,51.44914245605469,POINT (85.45000000000005 29.25)
2015-12-17,87.65000000000003,29.15,63.57240295410156,POINT (87.65000000000003 29.15)
2015-12-17,87.75,29.25,63.76863479614258,POINT (87.75 29.25)
2015-12-17,87.95000000000005,29.35,86.61477661132812,POINT (87.95000000000005 29.35)
2015-12-17,88.65000000000003,29.35,99.86565399169922,POINT (88.65000000000003 29.35)
2015-12-17,91.05000000000001,29.35,328.291015625,POINT (91.05000000000001 29.35)
2015-12-17,92.05000000000001,29.25,371.1639404296875,POINT (92.05000000000001 29.25)
2015-12-17,93.25,29.049999999999997,446.0225830078125,POINT (93.25 29.049999999999997)
2015-12-17,93.65000000000003,29.15,477.714111328125,POINT (93.65000000000003 29.15)
